사건번호,사건명,해양사고종류1,해양사고발생(년도),해양사고발생(월),해양사고발생(일),해양사고발생(시),해양사고발생(분),해양사고발생시간대,계절,해양사고장소(위),해양사고장소(위도),해양사고장소(위분),해양사고장소(위초),해양사고장소(경),해양사고장소(경도),해양사고장소(경분),해양사고장소(경초),해양사고발생지역(대),해양사고발생지역(중),해양사고발생지역(통계용),선박명,선박중요도,선박톤수,톤수범위(통계용),선박용도(통계용),사망합계(선원_여객_기타),실종합계(선원_여객_기타),인명피해합계(사망_실종),부상합계(선원_여객_기타),총합(사망_실종_부상)
IC-2020-0650,모터보트 씨스프린호 부유물감김사건,부유물감김,2020,9,6,10,18,8-12시,가을,북,N37,25,19,동,E126,21,1,국내,서해영해,서해영해,씨스프린호,1,5.3,5~10톤미만,수상레저기구,0,0,0,0,0
IC-2020-0653,모터보트 해병대호 침수사건,침수,2020,9,6,16,42,16-20시,가을,북,N36,35,34,동,E126,12,4,국내,서해영해,서해영해,해병대호,1,2.03,2~3톤미만,수상레저기구,0,0,0,0,0
IC-2020-0654,어선 대부호 선원실종사건,안전사고,2020,9,10,16,48,16-20시,가을,북,N37,10,34,동,E125,57,27,국내,서해영해,서해영해,대부호,1,6.67,5~10톤미만,어선,0,1,1,0,1
IC-2020-0655,모터보트 금화호 침수사건,침수,2020,9,11,7,33,4-8시,가을,북,N35,51,20,동,E126,20,34,국내,서해영해,서해영해,금화호,1,0.7,1톤미만,수상레저기구,0,0,0,0,0
IC-2020-0656,"어선 성광호, 어선 충남호 충돌사건",충돌,2020,9,11,9,54,8-12시,가을,북,N36,14,31,동,E126,19,31,국내,서해영해,서해영해,성광호,1,9.77,5~10톤미만,어선,0,0,0,0,0
IC-2020-0656,"어선 성광호, 어선 충남호 충돌사건",충돌,2020,9,11,9,54,8-12시,가을,북,N36,14,31,동,E126,19,31,국내,서해영해,서해영해,충남호,2,3,3~5톤미만,어선,0,0,0,2,2
IC-2020-0657,"어선 수동호, 고무보트 선명무 충돌사건",충돌,2020,9,11,10,31,8-12시,가을,북,N36,24,12,동,E126,28,25,국내,개항 및 진입수로,기타개항,수동호,1,4.97,3~5톤미만,어선,0,0,0,0,0
IC-2020-0657,"어선 수동호, 고무보트 선명무 충돌사건",충돌,2020,9,11,10,31,8-12시,가을,북,N36,24,12,동,E126,28,25,국내,개항 및 진입수로,기타개항,선명무,2,1,1~2톤미만,수상레저기구,0,0,0,2,2
IC-2020-0658,모터보트 예나호 침수사건,침수,2020,9,12,10,21,8-12시,가을,북,N35,39,38,동,E126,6,38,국내,서해영해,서해영해,예나호,1,0.07,1톤미만,수상레저기구,0,0,0,0,0
IC-2020-0659,"어선 제301동하호, 어선 광일호 충돌사건",충돌,2020,9,13,8,45,8-12시,가을,북,N35,28,6,동,E126,16,6,국내,서해영해,서해영해,제301동하호,1,29,25~30톤미만,어선,0,0,0,0,0
IC-2020-0659,"어선 제301동하호, 어선 광일호 충돌사건",충돌,2020,9,13,8,45,8-12시,가을,북,N35,28,6,동,E126,16,6,국내,서해영해,서해영해,광일호,2,2.8,2~3톤미만,어선,0,0,0,0,0
IC-2020-0660,모터보트 부라미끼호 추진축계손상사건,추진축계손상,2020,9,5,14,55,12-16시,가을,북,N36,32,4,동,E126,26,7,국내,서해영해,서해영해,부라미끼호,1,0.1,1톤미만,수상레저기구,0,0,0,0,0
IC-2020-0661,"어선 국한호, 어선 종은호 충돌사건",충돌,2020,9,13,9,39,8-12시,가을,북,N36,19,22,동,E126,23,6,국내,서해영해,서해영해,국한호,1,24,20~25톤미만,어선,0,0,0,0,0
IC-2020-0661,"어선 국한호, 어선 종은호 충돌사건",충돌,2020,9,13,9,39,8-12시,가을,북,N36,19,22,동,E126,23,6,국내,서해영해,서해영해,좋은호,2,3,3~5톤미만,어선,0,0,0,1,1
IC-2020-0662,"어선 제7덕연호, 어선 서해호 충돌사건",충돌,2020,9,13,16,50,16-20시,가을,북,N35,48,0,동,E126,25,0,국내,서해영해,서해영해,제7덕연호,1,2.99,2~3톤미만,어선,0,0,0,1,1
IC-2020-0662,"어선 제7덕연호, 어선 서해호 충돌사건",충돌,2020,9,13,16,50,16-20시,가을,북,N35,48,0,동,E126,25,0,국내,서해영해,서해영해,서해호,2,2.73,2~3톤미만,어선,0,0,0,0,0
